Player,Player Link,Maidens,Overs,Runs,Wickets,Economy,Inns,Opposition,Ground,Start Date
MR Marsh,/ci/content/player/272450.html,0,10.0,61,1,6.10,2,South Africa,Durban,5 Oct 2016
A Zampa,/ci/content/player/379504.html,0,9.0,61,1,6.77,2,Pakistan,Adelaide,26 Jan 2017
JP Faulkner,/ci/content/player/270484.html,0,10.0,63,1,6.30,1,India,Melbourne,18 Jan 2015
JP Faulkner,/ci/content/player/270484.html,0,10.0,63,1,6.30,1,India,Melbourne,17 Jan 2016
SM Boland,/ci/content/player/446548.html,0,10.0,64,1,6.40,1,India,Brisbane,15 Jan 2016
CP Tremain,/ci/content/player/553800.html,0,10.0,65,1,6.50,2,South Africa,Durban,5 Oct 2016
A Zampa,/ci/content/player/379504.html,0,10.0,66,1,6.60,1,India,Chennai,17 Sep 2017
PJ Cummins,/ci/content/player/489889.html,0,9.0,67,1,7.44,1,New Zealand,Birmingham,2 Jun 2017
JP Faulkner,/ci/content/player/270484.html,1,10.0,67,1,6.70,1,India,Chennai,17 Sep 2017
SR Watson,/ci/content/player/8180.html,0,7.0,71,1,10.14,2,Sri Lanka,Sydney,8 Mar 2015
PJ Cummins,/ci/content/player/489889.html,0,10.0,74,1,7.40,1,England,Hobart,23 Jan 2015
JR Hazlewood,/ci/content/player/288284.html,0,10.0,74,1,7.40,2,Pakistan,Adelaide,26 Jan 2017
NM Lyon,/ci/content/player/272279.html,0,10.0,76,1,7.60,2,India,Canberra,20 Jan 2016
MR Marsh,/ci/content/player/272450.html,0,9.4,77,1,7.96,2,India,Sydney,23 Jan 2016
CP Tremain,/ci/content/player/553800.html,0,10.0,78,1,7.80,1,South Africa,Johannesburg,2 Oct 2016
MA Starc,/ci/content/player/311592.html,0,10.0,79,1,7.90,1,England,Manchester,8 Sep 2015
JP Faulkner,/ci/content/player/270484.html,0,1.0,2,0,2.00,1,India,Sydney,26 Jan 2015
AJ Finch,/ci/content/player/5334.html,0,0.3,3,0,6.00,2,England,Perth,1 Feb 2015
MC Henriques,/ci/content/player/5961.html,0,1.0,6,0,6.00,2,England,Birmingham,10 Jun 2017
AJ Finch,/ci/content/player/5334.html,0,2.0,7,0,3.50,1,Sri Lanka,Colombo (RPS),24 Aug 2016
JP Faulkner,/ci/content/player/270484.html,0,4.0,8,0,2.00,2,Afghanistan,Perth,4 Mar 2015
MA Starc,/ci/content/player/311592.html,0,1.0,8,0,8.00,1,South Africa,Bridgetown,19 Jun 2016
GJ Maxwell,/ci/content/player/325026.html,0,1.0,9,0,9.00,1,Bangladesh,The Oval,5 Jun 2017
TM Head,/ci/content/player/530011.html,0,2.0,9,0,4.50,2,England,Birmingham,10 Jun 2017
XJ Doherty,/ci/content/player/5017.html,0,3.0,10,0,3.33,1,India,Sydney,26 Jan 2015
GJ Maxwell,/ci/content/player/325026.html,0,1.0,10,0,10.00,2,India,Canberra,20 Jan 2016
GJ Maxwell,/ci/content/player/325026.html,0,2.0,10,0,5.00,1,West Indies,Bridgetown,21 Jun 2016
MR Marsh,/ci/content/player/272450.html,0,1.0,11,0,11.00,2,New Zealand,Auckland,28 Feb 2015
AJ Finch,/ci/content/player/5334.html,0,3.0,11,0,3.66,1,South Africa,Providence,7 Jun 2016
SR Watson,/ci/content/player/8180.html,0,2.0,12,0,6.00,2,Ireland,Belfast,27 Aug 2015
MR Marsh,/ci/content/player/272450.html,0,2.0,12,0,6.00,1,India,Melbourne,17 Jan 2016
SR Watson,/ci/content/player/8180.html,0,3.0,13,0,4.33,2,England,Melbourne,14 Feb 2015
JR Hazlewood,/ci/content/player/288284.html,0,3.0,13,0,4.33,1,West Indies,Providence,5 Jun 2016
